Objectid ;Straat ;Type_en_merk ;Aantal ;geo_shape;geo_point_2d
10196;Deken van Somerenstraat;Parkeerplaats;1.0;"{""coordinates"": [5.474833483149905, 51.434155967885594], ""type"": ""Point""}";51.434155967885594,5.474833483149905
10197;Deken van Somerenstraat;Parkeerplaats;1.0;"{""coordinates"": [5.474813920425808, 51.43414002411895], ""type"": ""Point""}";51.43414002411895,5.474813920425808
10198;Deken van Somerenstraat;Parkeerplaats;1.0;"{""coordinates"": [5.474794359155297, 51.43412408124683], ""type"": ""Point""}";51.43412408124683,5.474794359155297
10199;Deken van Somerenstraat;Parkeerplaats;1.0;"{""coordinates"": [5.474774796458595, 51.434108137473615], ""type"": ""Point""}";51.434108137473615,5.474774796458595
10428;Alberdingk Thijmlaan;Parkeerplaats;1.0;"{""coordinates"": [5.483778221526216, 51.42810526850999], ""type"": ""Point""}";51.42810526850999,5.483778221526216
10431;Alberdingk Thijmlaan;Parkeerplaats;1.0;"{""coordinates"": [5.4836967462585156, 51.42814686197188], ""type"": ""Point""}";51.42814686197188,5.4836967462585156
10434;Alberdingk Thijmlaan;Parkeerplaats;1.0;"{""coordinates"": [5.483623656333363, 51.42819373557465], ""type"": ""Point""}";51.42819373557465,5.483623656333363
10436;Alberdingk Thijmlaan;Parkeerplaats;1.0;"{""coordinates"": [5.483578885294021, 51.42822747749999], ""type"": ""Point""}";51.42822747749999,5.483578885294021
10668;van Meursstraat;Parkeerplaats;1.0;"{""coordinates"": [5.472925955628545, 51.42976881847194], ""type"": ""Point""}";51.42976881847194,5.472925955628545
10670;van Meursstraat;Parkeerplaats;1.0;"{""coordinates"": [5.473098201800103, 51.42971308480075], ""type"": ""Point""}";51.42971308480075,5.473098201800103
10672;van Meursstraat;Parkeerplaats;1.0;"{""coordinates"": [5.473272617593588, 51.42965516232463], ""type"": ""Point""}";51.42965516232463,5.473272617593588
10673;van Meursstraat;Parkeerplaats;1.0;"{""coordinates"": [5.4733813599973296, 51.42961897971883], ""type"": ""Point""}";51.42961897971883,5.4733813599973296
10681;Karel de Grotelaan;Parkeerplaats;1.0;"{""coordinates"": [5.467323625773833, 51.43332780583478], ""type"": ""Point""}";51.43332780583478,5.467323625773833
10682;Karel de Grotelaan;Parkeerplaats;1.0;"{""coordinates"": [5.467275359837897, 51.43331453222344], ""type"": ""Point""}";51.43331453222344,5.467275359837897
10684;Karel de Grotelaan;Parkeerplaats;1.0;"{""coordinates"": [5.467029378497039, 51.433258871671796], ""type"": ""Point""}";51.433258871671796,5.467029378497039
10689;Karel de Grotelaan;Parkeerplaats;1.0;"{""coordinates"": [5.466633605002915, 51.43311046263235], ""type"": ""Point""}";51.43311046263235,5.466633605002915
10203;Deken van Somerenstraat;Parkeerplaats;1.0;"{""coordinates"": [5.474696545812388, 51.43404436414545], ""type"": ""Point""}";51.43404436414545,5.474696545812388
10205;Deken van Somerenstraat;Parkeerplaats;1.0;"{""coordinates"": [5.4746574205714476, 51.434012477461565], ""type"": ""Point""}";51.434012477461565,5.4746574205714476
10443;Alberdingk Thijmlaan;Parkeerplaats;1.0;"{""coordinates"": [5.4834221875728675, 51.42834557455148], ""type"": ""Point""}";51.42834557455148,5.4834221875728675
10446;Alberdingk Thijmlaan;Parkeerplaats;1.0;"{""coordinates"": [5.483526472750526, 51.42833658503126], ""type"": ""Point""}";51.42833658503126,5.483526472750526
10453;Alberdingk Thijmlaan;Parkeerplaats;1.0;"{""coordinates"": [5.483675241522837, 51.42822049708795], ""type"": ""Point""}";51.42822049708795,5.483675241522837
10692;Karel de Grotelaan;Parkeerplaats;1.0;"{""coordinates"": [5.466306733170488, 51.43299147929471], ""type"": ""Point""}";51.43299147929471,5.466306733170488
10696;Karel de Grotelaan;Parkeerplaats;1.0;"{""coordinates"": [5.466069695058524, 51.432905832491215], ""type"": ""Point""}";51.432905832491215,5.466069695058524
10697;Karel de Grotelaan;Parkeerplaats;1.0;"{""coordinates"": [5.466010436389737, 51.43288442116119], ""type"": ""Point""}";51.43288442116119,5.466010436389737
10699;Karel de Grotelaan;Parkeerplaats;1.0;"{""coordinates"": [5.465891917779508, 51.43284159751259], ""type"": ""Point""}";51.43284159751259,5.465891917779508
10703;Hagenkampweg Zuid;Parkeerplaats;1.0;"{""coordinates"": [5.467111555780568, 51.431877544178775], ""type"": ""Point""}";51.431877544178775,5.467111555780568
99;Michelangelolaan;Parkeerplaats;1.0;"{""coordinates"": [5.46858241336537, 51.46693543060792], ""type"": ""Point""}";51.46693543060792,5.46858241336537
101;Veldmaarschalk Montgomerylaan;Parkeerplaats;1.0;"{""coordinates"": [5.470836058595792, 51.445575257690564], ""type"": ""Point""}";51.445575257690564,5.470836058595792
103;Veldmaarschalk Montgomerylaan;Parkeerplaats;1.0;"{""coordinates"": [5.470918383869828, 51.445498435285295], ""type"": ""Point""}";51.445498435285295,5.470918383869828
106;Boschdijk;Parkeerplaats;1.0;"{""coordinates"": [5.471039262522918, 51.44538430905348], ""type"": ""Point""}";51.44538430905348,5.471039262522918
107;Professor Dr Dorgelolaan;Parkeerplaats Electrisch opladen;1.0;"{""coordinates"": [5.484090179656347, 51.44487067822449], ""type"": ""Point""}";51.44487067822449,5.484090179656347
112;Professor Dr Dorgelolaan;Parkeerplaats;1.0;"{""coordinates"": [5.484277393632743, 51.44488549739823], ""type"": ""Point""}";51.44488549739823,5.484277393632743
113;Professor Dr Dorgelolaan;Parkeerplaats;1.0;"{""coordinates"": [5.484313763603784, 51.44488856815812], ""type"": ""Point""}";51.44488856815812,5.484313763603784
118;Professor Dr Dorgelolaan;Parkeerplaats;1.0;"{""coordinates"": [5.484094880347368, 51.444551010304515], ""type"": ""Point""}";51.444551010304515,5.484094880347368
119;Professor Dr Dorgelolaan;Parkeerplaats;1.0;"{""coordinates"": [5.484088316298997, 51.44457580651429], ""type"": ""Point""}";51.44457580651429,5.484088316298997
125;Professor Dr Dorgelolaan;Parkeerplaats;1.0;"{""coordinates"": [5.48405722712948, 51.44472250048161], ""type"": ""Point""}";51.44472250048161,5.48405722712948
126;Professor Dr Dorgelolaan;Parkeerplaats;1.0;"{""coordinates"": [5.484050669600974, 51.44475038878548], ""type"": ""Point""}";51.44475038878548,5.484050669600974
128;Professor Dr Dorgelolaan;Parkeerplaats;1.0;"{""coordinates"": [5.484039207747143, 51.44479893712761], ""type"": ""Point""}";51.44479893712761,5.484039207747143
134;Professor Dr Dorgelolaan;Parkeerplaats;1.0;"{""coordinates"": [5.484117785246965, 51.44443841715785], ""type"": ""Point""}";51.44443841715785,5.484117785246965
135;Professor Dr Dorgelolaan;Parkeerplaats;1.0;"{""coordinates"": [5.484124337071799, 51.444414654653244], ""type"": ""Point""}";51.444414654653244,5.484124337071799
