ID;STATUS;AANBIEDER;AANSLUITINGEN;DATUMPLAATSING;ADRES;geo_shape;geo_point_2d
308143.0;Bestaand;Allegro;2.0;2022-09-15T04:00:00+02:00;Tivililaan;"{""coordinates"": [5.505769200748886, 51.423652767314266], ""type"": ""Point""}";51.423652767314266,5.505769200748886
308040.0;;;;;;"{""coordinates"": [5.4673201974902055, 51.43292486386001], ""type"": ""Point""}";51.43292486386001,5.4673201974902055
308045.0;;;;;;"{""coordinates"": [5.455729497254008, 51.476620828324805], ""type"": ""Point""}";51.476620828324805,5.455729497254008
308051.0;Bestaand;Allegro;2.0;2022-09-27T04:00:00+02:00;Busweg;"{""coordinates"": [5.494685971283782, 51.48394715009764], ""type"": ""Point""}";51.48394715009764,5.494685971283782
308061.0;;;;;;"{""coordinates"": [5.477765638639785, 51.430601190311904], ""type"": ""Point""}";51.430601190311904,5.477765638639785
308280.0;Bestaand;E-flux;2.0;2022-09-15T04:00:00+02:00;Fabritiuslaan;"{""coordinates"": [5.512286206141648, 51.42876435476075], ""type"": ""Point""}";51.42876435476075,5.512286206141648
308088.0;;;;;;"{""coordinates"": [5.4810656477869175, 51.449017982996104], ""type"": ""Point""}";51.449017982996104,5.4810656477869175
308107.0;Bestaand;Allegro;2.0;2022-09-15T04:00:00+02:00;Geert Grootestraat;"{""coordinates"": [5.507905626176232, 51.4254306108094], ""type"": ""Point""}";51.4254306108094,5.507905626176232
308112.0;Bestaand;Allegro;2.0;2022-09-20T04:00:00+02:00;Gaasterlandstraat;"{""coordinates"": [5.461438293360475, 51.476590674881066], ""type"": ""Point""}";51.476590674881066,5.461438293360475
308131.0;;;;;;"{""coordinates"": [5.4497169046854, 51.47386284771458], ""type"": ""Point""}";51.47386284771458,5.4497169046854
308137.0;;;;;;"{""coordinates"": [5.497232325271213, 51.433170140598], ""type"": ""Point""}";51.433170140598,5.497232325271213
308144.0;;;;;;"{""coordinates"": [5.504171092729214, 51.419771566020124], ""type"": ""Point""}";51.419771566020124,5.504171092729214
308039.0;Bestaand;Park n charge;2.0;2022-09-27T04:00:00+02:00;De Stoutheuvel;"{""coordinates"": [5.491780272042985, 51.47773138365714], ""type"": ""Point""}";51.47773138365714,5.491780272042985
308043.0;Bestaand;Allegro;2.0;;Jan van Boonenstraat;"{""coordinates"": [5.472581146029269, 51.45879845285628], ""type"": ""Point""}";51.45879845285628,5.472581146029269
308044.0;;;;;;"{""coordinates"": [5.455169792525727, 51.46686814641437], ""type"": ""Point""}";51.46686814641437,5.455169792525727
308065.0;;;;;;"{""coordinates"": [5.447798470334251, 51.45030760735524], ""type"": ""Point""}";51.45030760735524,5.447798470334251
308070.0;;;;;;"{""coordinates"": [5.474603280457482, 51.47120810152231], ""type"": ""Point""}";51.47120810152231,5.474603280457482
308072.0;;;;;;"{""coordinates"": [5.469033849675175, 51.44731231329447], ""type"": ""Point""}";51.44731231329447,5.469033849675175
308082.0;Bestaand;Allegro;2.0;2022-09-20T04:00:00+02:00;de Jonghlaan;"{""coordinates"": [5.463587214993789, 51.44294530354964], ""type"": ""Point""}";51.44294530354964,5.463587214993789
308084.0;;;;;;"{""coordinates"": [5.4764485319053415, 51.480722644238426], ""type"": ""Point""}";51.480722644238426,5.4764485319053415
308086.0;;;;;;"{""coordinates"": [5.453480154225089, 51.41675007477616], ""type"": ""Point""}";51.41675007477616,5.453480154225089
308087.0;Bestaand;Allegro;2.0;2022-09-14T04:00:00+02:00;Waterfront;"{""coordinates"": [5.401760284605034, 51.43963298256711], ""type"": ""Point""}";51.43963298256711,5.401760284605034
308091.0;;;;;;"{""coordinates"": [5.48979851736105, 51.46023451647482], ""type"": ""Point""}";51.46023451647482,5.48979851736105
308109.0;;;;;;"{""coordinates"": [5.490621718458836, 51.46433721903565], ""type"": ""Point""}";51.46433721903565,5.490621718458836
308110.0;;;;;;"{""coordinates"": [5.464077800798164, 51.46265992004371], ""type"": ""Point""}";51.46265992004371,5.464077800798164
308116.0;Bestaand;Allegro;2.0;2022-09-12T04:00:00+02:00;Spaarnestraat, Acht;"{""coordinates"": [5.424037093766036, 51.477922008072916], ""type"": ""Point""}";51.477922008072916,5.424037093766036
308126.0;Bestaand;Allegro;2.0;2022-09-15T04:00:00+02:00;Alberdingk Thijmlaan;"{""coordinates"": [5.48036730239679, 51.42694419570027], ""type"": ""Point""}";51.42694419570027,5.48036730239679
308129.0;;;;;;"{""coordinates"": [5.486645031719073, 51.45811323158173], ""type"": ""Point""}";51.45811323158173,5.486645031719073
308130.0;;;;;;"{""coordinates"": [5.524123706497625, 51.4425662461183], ""type"": ""Point""}";51.4425662461183,5.524123706497625
307899.0;Bestaand;EVnetNL;2.0;2022-09-28T04:00:00+02:00;Zeelsterstraat;"{""coordinates"": [5.432856149392041, 51.4380853114257], ""type"": ""Point""}";51.4380853114257,5.432856149392041
308132.0;Bestaand;Allegro;2.0;2022-09-12T04:00:00+02:00;Alsacelaan, HU 23;"{""coordinates"": [5.4422106090702345, 51.48178859915177], ""type"": ""Point""}";51.48178859915177,5.4422106090702345
308134.0;;;;;;"{""coordinates"": [5.476638559389207, 51.44672089091975], ""type"": ""Point""}";51.44672089091975,5.476638559389207
308136.0;;;;;;"{""coordinates"": [5.483180622925707, 51.45141439865554], ""type"": ""Point""}";51.45141439865554,5.483180622925707
308138.0;Bestaand;EVnetNL;2.0;2022-09-12T04:00:00+02:00;Vaalserbergweg, th pand 1642;"{""coordinates"": [5.457747503542567, 51.482352428736185], ""type"": ""Point""}";51.482352428736185,5.457747503542567
308139.0;;;;;;"{""coordinates"": [5.455169130740191, 51.46505358921123], ""type"": ""Point""}";51.46505358921123,5.455169130740191
308145.0;;;;;;"{""coordinates"": [5.460700360967128, 51.424126852289156], ""type"": ""Point""}";51.424126852289156,5.460700360967128
308157.0;;;;;;"{""coordinates"": [5.465852777607717, 51.45480062429059], ""type"": ""Point""}";51.45480062429059,5.465852777607717
308158.0;;;;;;"{""coordinates"": [5.472368302783369, 51.48853516219895], ""type"": ""Point""}";51.48853516219895,5.472368302783369
308161.0;;;;;;"{""coordinates"": [5.458800124271239, 51.45647083958623], ""type"": ""Point""}";51.45647083958623,5.458800124271239
308164.0;;;;;Esp 130, priveterrein Sioux;"{""coordinates"": [5.489409458698293, 51.48726998560448], ""type"": ""Point""}";51.48726998560448,5.489409458698293
308170.0;Bestaand;Allegro;2.0;;Zandkrab;"{""coordinates"": [5.410266607414032, 51.45011416045419], ""type"": ""Point""}";51.45011416045419,5.410266607414032
308181.0;;;;;;"{""coordinates"": [5.494235699394951, 51.42704348021067], ""type"": ""Point""}";51.42704348021067,5.494235699394951
308187.0;Bestaand;Allegro;2.0;2022-09-28T04:00:00+02:00;Van Maanenlaan;"{""coordinates"": [5.4350494705404, 51.44540999656777], ""type"": ""Point""}";51.44540999656777,5.4350494705404
308188.0;Bestaand;Allegro;2.0;2022-09-14T04:00:00+02:00;Waterfront;"{""coordinates"": [5.398229228368921, 51.440178145670515], ""type"": ""Point""}";51.440178145670515,5.398229228368921
308272.0;Bestaand;Park n charge;2.0;2022-08-18T04:00:00+02:00;Zutphenstraat;"{""coordinates"": [5.441937020579038, 51.44706458927206], ""type"": ""Point""}";51.44706458927206,5.441937020579038
308273.0;;;;;;"{""coordinates"": [5.487527972295151, 51.4384281661606], ""type"": ""Point""}";51.4384281661606,5.487527972295151
308209.0;Aangevraagde locatie;Park n charge;2.0;2022-04-26T04:00:00+02:00;Otto Veniusweg;"{""coordinates"": [5.503798883080238, 51.430482759681745], ""type"": ""Point""}";51.430482759681745,5.503798883080238
308135.0;Bestaand;Allegro;2.0;;Woenselsestraat;"{""coordinates"": [5.471924728057059, 51.46200817095092], ""type"": ""Point""}";51.46200817095092,5.471924728057059
308159.0;;;;;;"{""coordinates"": [5.483859526025053, 51.42274142209466], ""type"": ""Point""}";51.42274142209466,5.483859526025053
308222.0;Aangevraagde locatie;Allegro;2.0;;;"{""coordinates"": [5.499095604489148, 51.41865500914493], ""type"": ""Point""}";51.41865500914493,5.499095604489148
308191.0;Bestaand;Park n charge;2.0;;Vaeshartelt;"{""coordinates"": [5.442938913414899, 51.41778854116156], ""type"": ""Point""}";51.41778854116156,5.442938913414899
308282.0;Aangevraagde locatie;OPCHARGE;2.0;2022-07-01T04:00:00+02:00;Cherbourglaan;"{""coordinates"": [5.449277869463854, 51.48927258455578], ""type"": ""Point""}";51.48927258455578,5.449277869463854
308053.0;Bestaand;Allegro;2.0;2022-09-27T04:00:00+02:00;Tomatenstraat;"{""coordinates"": [5.4996936917475825, 51.478127674411176], ""type"": ""Point""}";51.478127674411176,5.4996936917475825
307981.0;;;;;;"{""coordinates"": [5.471060342926875, 51.433259483827975], ""type"": ""Point""}";51.433259483827975,5.471060342926875
307986.0;;;;;;"{""coordinates"": [5.500493441225829, 51.43705073251188], ""type"": ""Point""}";51.43705073251188,5.500493441225829
307987.0;;;;;;"{""coordinates"": [5.477801228973518, 51.490777693381844], ""type"": ""Point""}";51.490777693381844,5.477801228973518
307990.0;;;;;Huizingalaan;"{""coordinates"": [5.455094922562518, 51.481888745622605], ""type"": ""Point""}";51.481888745622605,5.455094922562518
307994.0;;;;;;"{""coordinates"": [5.483072337491641, 51.455116711578086], ""type"": ""Point""}";51.455116711578086,5.483072337491641
308001.0;;;;;;"{""coordinates"": [5.458977397275323, 51.47049323056882], ""type"": ""Point""}";51.47049323056882,5.458977397275323
